Id;Name;Gender;Job;House;Patronus;Species;Blood status;Loyalty;Skills
1;Harry James Potter;Male;Student;Gryffindor;Stag;Human;Half-blood;Albus Dumbledore | Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry;Parseltongue| Defence Against the Dark Arts | Seeker
2;Ronald Bilius Weasley;Male;Student;Gryffindor;Jack Russell terrier;Human;Pure-blood;Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry;Wizard chess | Quidditch goalkeeping
3;Hermione Jean Granger;Female;Student;Gryffindor;Otter;Human;Muggle-born;Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry;Almost everything
4;Albus Percival Wulfric Brian Dumbledore;Male;Headmaster;Gryffindor;Phoenix;Human;Half-blood;Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry;Considered by many to be one of the most powerful wizards of his time | Fire | very intelligent |everything
5;Rubeus Hagrid;Male;Keeper of Keys and Grounds | Professor of Care of Magical Creatures ;Gryffindor;None;Half-Human/Half-Giant;Part-Human (Half-giant);Albus Dumbledore | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry;Resistant to stunning spells| above average strength | crossbowmanship
6;Neville Longbottom;Male;Student;Gryffindor;Non-corporeal;Human;Pure-blood;Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry;Herbology
7;Fred Weasley;Male;Student;Gryffindor;Unknown;Human;Pure-blood;Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry;Beater
8;George Weasley;Male;Student;Gryffindor;Unknown;Human;Pure-blood;Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry;Beater
9;Ginevra (Ginny) Molly Weasley;Female;Student;Gryffindor;Horse;Human;Pure-blood;Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry;Chaser| Bat-Bogey hex
10;Dean Thomas;Male;Student;Gryffindor;Unknown;Human;Muggle-born;Dumbledore's Army | Hogwarts School of Witchcraft and Wizardry;Chaser
11;Seamus Finnigan;Male;Student;Gryffindor;Fox;Human;Half-blood;Dumbledore's Army | Hogwarts School of Witchcraft and Wizardry;Pyrotechnics
12;Lily J. Potter;Female;;Gryffindor;Doe;Human;Muggle-born;Order of the Phoenix;
13;James Potter;Male;;Gryffindor;Stag;Human;Pure-blood;Order of the Phoenix;Animagus| Seeker
14;Sirius Black;Male;;Gryffindor;Unknown;Human;Pure-blood;Order of the Phoenix;Animagus| nonverbal magic| Charms
15;Remus John Lupin;Male;Professor of Defence Against the Dark Arts ;Gryffindor;Wolf;Werewolf;Half-blood;Order of the Phoenix;Exceptionally gifted in Defence Against the Dark Arts
